area_code,都道府県,time_code,時間軸(年),都道府県_value,全国_value,cat01_code,10大費目,差分(都道府県-全国)
01000,北海道,2013000000,2013年,99.2,100,00010,総合,-0.7999999999999972
01000,北海道,2013000000,2013年,99.0,100,00020,食料,-1.0
01000,北海道,2013000000,2013年,88.8,100,00030,住居,-11.200000000000003
01000,北海道,2013000000,2013年,108.8,100,00040,光熱・水道,8.799999999999997
01000,北海道,2013000000,2013年,97.8,100,00050,家具・家事用品,-2.200000000000003
01000,北海道,2013000000,2013年,101.0,100,00060,被服及び履物,1.0
01000,北海道,2013000000,2013年,99.3,100,00070,保健医療,-0.7000000000000028
01000,北海道,2013000000,2013年,100.1,100,00080,交通・通信,0.09999999999999432
01000,北海道,2013000000,2013年,101.3,100,00090,教育,1.2999999999999972
01000,北海道,2013000000,2013年,96.4,100,00100,教養娯楽,-3.5999999999999943
01000,北海道,2013000000,2013年,100.2,100,00110,諸雑費,0.20000000000000284
01000,北海道,2013000000,2013年,100.1,100,00120,(参考)家賃を除く総合,0.09999999999999432
01000,北海道,2014000000,2014年,98.9,100,00010,総合,-1.0999999999999943
01000,北海道,2014000000,2014年,99.1,100,00020,食料,-0.9000000000000057
01000,北海道,2014000000,2014年,87.7,100,00030,住居,-12.299999999999997
01000,北海道,2014000000,2014年,108.9,100,00040,光熱・水道,8.900000000000006
01000,北海道,2014000000,2014年,97.9,100,00050,家具・家事用品,-2.0999999999999943
01000,北海道,2014000000,2014年,102.5,100,00060,被服及び履物,2.5
01000,北海道,2014000000,2014年,98.9,100,00070,保健医療,-1.0999999999999943
01000,北海道,2014000000,2014年,99.6,100,00080,交通・通信,-0.4000000000000057
01000,北海道,2014000000,2014年,95.9,100,00090,教育,-4.099999999999994
01000,北海道,2014000000,2014年,96.7,100,00100,教養娯楽,-3.299999999999997
01000,北海道,2014000000,2014年,99.9,100,00110,諸雑費,-0.09999999999999432
01000,北海道,2014000000,2014年,99.9,100,00120,(参考)家賃を除く総合,-0.09999999999999432
01000,北海道,2015000000,2015年,99.2,100,00010,総合,-0.7999999999999972
01000,北海道,2015000000,2015年,99.0,100,00020,食料,-1.0
01000,北海道,2015000000,2015年,82.7,100,00030,住居,-17.299999999999997
01000,北海道,2015000000,2015年,112.4,100,00040,光熱・水道,12.400000000000006
01000,北海道,2015000000,2015年,99.3,100,00050,家具・家事用品,-0.7000000000000028
01000,北海道,2015000000,2015年,107.6,100,00060,被服及び履物,7.599999999999994
01000,北海道,2015000000,2015年,99.9,100,00070,保健医療,-0.09999999999999432
01000,北海道,2015000000,2015年,98.8,100,00080,交通・通信,-1.2000000000000028
01000,北海道,2015000000,2015年,94.3,100,00090,教育,-5.700000000000003
01000,北海道,2015000000,2015年,97.7,100,00100,教養娯楽,-2.299999999999997
01000,北海道,2015000000,2015年,101.0,100,00110,諸雑費,1.0
01000,北海道,2015000000,2015年,100.3,100,00120,(参考)家賃を除く総合,0.29999999999999716
01000,北海道,2016000000,2016年,99.2,100,00010,総合,-0.7999999999999972
