area_code,都道府県,cat01_code,銘柄,cat02_code,平均価格,time_code,時間軸(年),全国_value,都道府県_value,差分(都道府県-全国)
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00010,算術平均,2013000000,2013年,2370.0,2345.0,-25.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00010,算術平均,2014000000,2014年,2223.0,2212.0,-11.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00010,算術平均,2015000000,2015年,2082.0,2162.0,80.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00010,算術平均,2016000000,2016年,2156.0,2193.0,37.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00010,算術平均,2017000000,2017年,2223.0,2289.0,66.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00010,算術平均,2018000000,2018年,2303.0,2361.0,58.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00010,算術平均,2019000000,2019年,2319.0,2356.0,37.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00020,調和平均,2013000000,2013年,2357.0,2337.0,-20.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00020,調和平均,2014000000,2014年,2203.0,2194.0,-9.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00020,調和平均,2015000000,2015年,2062.0,2143.0,81.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00020,調和平均,2016000000,2016年,2141.0,2173.0,32.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00020,調和平均,2017000000,2017年,2207.0,2274.0,67.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00020,調和平均,2018000000,2018年,2290.0,2350.0,60.0
01000,北海道,01001,1001 うるち米(単一品種，「コシヒカリ」),00020,調和平均,2019000000,2019年,2307.0,2343.0,36.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00010,算術平均,2013000000,2013年,2180.0,2034.0,-146.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00010,算術平均,2014000000,2014年,2033.0,1955.0,-78.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00010,算術平均,2015000000,2015年,1859.0,1830.0,-29.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00010,算術平均,2016000000,2016年,1927.0,1897.0,-30.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00010,算術平均,2017000000,2017年,2042.0,2045.0,3.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00010,算術平均,2018000000,2018年,2171.0,2168.0,-3.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00010,算術平均,2019000000,2019年,2170.0,2143.0,-27.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00020,調和平均,2013000000,2013年,2170.0,2035.0,-135.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00020,調和平均,2014000000,2014年,2019.0,1946.0,-73.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00020,調和平均,2015000000,2015年,1845.0,1819.0,-26.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00020,調和平均,2016000000,2016年,1918.0,1892.0,-26.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00020,調和平均,2017000000,2017年,2035.0,2043.0,8.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00020,調和平均,2018000000,2018年,2164.0,2168.0,4.0
01000,北海道,01002,1002 うるち米(単一品種，「コシヒカリ」以外),00020,調和平均,2019000000,2019年,2163.0,2141.0,-22.0
01000,北海道,01021,1021 食パン,00010,算術平均,2013000000,2013年,407.0,429.0,22.0
01000,北海道,01021,1021 食パン,00010,算術平均,2014000000,2014年,408.0,443.0,35.0
01000,北海道,01021,1021 食パン,00010,算術平均,2015000000,2015年,413.0,444.0,31.0
01000,北海道,01021,1021 食パン,00010,算術平均,2016000000,2016年,416.0,448.0,32.0
01000,北海道,01021,1021 食パン,00010,算術平均,2017000000,2017年,413.0,442.0,29.0
01000,北海道,01021,1021 食パン,00010,算術平均,2018000000,2018年,415.0,447.0,32.0
01000,北海道,01021,1021 食パン,00010,算術平均,2019000000,2019年,419.0,456.0,37.0
01000,北海道,01021,1021 食パン,00020,調和平均,2013000000,2013年,407.0,429.0,22.0
01000,北海道,01021,1021 食パン,00020,調和平均,2014000000,2014年,396.0,412.0,16.0
01000,北海道,01021,1021 食パン,00020,調和平均,2015000000,2015年,401.0,418.0,17.0
01000,北海道,01021,1021 食パン,00020,調和平均,2016000000,2016年,405.0,425.0,20.0
01000,北海道,01021,1021 食パン,00020,調和平均,2017000000,2017年,403.0,422.0,19.0
01000,北海道,01021,1021 食パン,00020,調和平均,2018000000,2018年,406.0,428.0,22.0
01000,北海道,01021,1021 食パン,00020,調和平均,2019000000,2019年,410.0,439.0,29.0
01000,北海道,01022,1022 あんパン,00010,算術平均,2013000000,2013年,76.0,72.0,-4.0
01000,北海道,01022,1022 あんパン,00010,算術平均,2014000000,2014年,84.0,81.0,-3.0
01000,北海道,01022,1022 あんパン,00010,算術平均,2015000000,2015年,85.0,83.0,-2.0
01000,北海道,01022,1022 あんパン,00010,算術平均,2016000000,2016年,85.0,78.0,-7.0
01000,北海道,01022,1022 あんパン,00010,算術平均,2017000000,2017年,85.0,80.0,-5.0
01000,北海道,01022,1022 あんパン,00010,算術平均,2018000000,2018年,86.0,82.0,-4.0
01000,北海道,01022,1022 あんパン,00010,算術平均,2019000000,2019年,87.0,80.0,-7.0
01000,北海道,01022,1022 あんパン,00020,調和平均,2013000000,2013年,75.0,71.0,-4.0
01000,北海道,01022,1022 あんパン,00020,調和平均,2014000000,2014年,83.0,78.0,-5.0
01000,北海道,01022,1022 あんパン,00020,調和平均,2015000000,2015年,84.0,81.0,-3.0
01000,北海道,01022,1022 あんパン,00020,調和平均,2016000000,2016年,84.0,76.0,-8.0
01000,北海道,01022,1022 あんパン,00020,調和平均,2017000000,2017年,84.0,78.0,-6.0
01000,北海道,01022,1022 あんパン,00020,調和平均,2018000000,2018年,85.0,81.0,-4.0
01000,北海道,01022,1022 あんパン,00020,調和平均,2019000000,2019年,86.0,78.0,-8.0
01000,北海道,01023,1023 カレーパン,00010,算術平均,2013000000,2013年,92.0,116.0,24.0
